Date,Open_TCSG,High_TCSG,Low_TCSG,Close_TCSG,Volume_TCSG
2020-10-22,1739.800048828125,1812.0,1710.4000244140625,1790.0,324635
2020-10-21,1686.0,1757.0,1680.4000244140625,1734.4000244140625,357260
2020-10-20,1768.0,1813.4000244140625,1653.0,1690.0,544117
2020-10-19,1800.0,1839.4000244140625,1756.0,1767.4000244140625,225864
2020-10-16,1908.0,1908.0,1908.0,1908.0,0
2020-10-15,1908.0,1908.0,1908.0,1908.0,0
2020-10-14,1860.199951171875,1957.0,1830.199951171875,1908.0,484916
2020-10-13,1881.199951171875,1909.4000244140625,1840.5999755859373,1847.0,393175
2020-10-12,1980.4000244140625,2019.0,1871.800048828125,1888.199951171875,603505
2020-10-09,1931.0,2002.0,1910.0,1992.0,227672
2020-10-08,1950.199951171875,1959.0,1925.0,1939.0,202201
2020-10-07,1989.5999755859373,1992.4000244140625,1951.0,1957.199951171875,130047
2020-10-06,2010.0,2041.0,1984.0,1991.4000244140625,158580
2020-10-05,2002.4000244140625,2099.60009765625,1981.199951171875,2005.0,94806
2020-10-02,1999.800048828125,2030.0,1986.800048828125,2010.4000244140625,94047
2020-10-01,2078.800048828125,2078.800048828125,1985.4000244140625,2011.800048828125,238955
2020-09-30,2074.800048828125,2074.800048828125,2023.199951171875,2054.0,165901
2020-09-29,2083.800048828125,2088.199951171875,2036.0,2065.0,122751
2020-09-28,2028.4000244140625,2085.0,2015.800048828125,2067.39990234375,295507
2020-09-25,2049.0,2055.0,1965.5999755859373,2034.199951171875,457302
2020-09-24,2105.0,2105.199951171875,2014.4000244140625,2031.199951171875,410582
2020-09-23,2163.39990234375,2165.0,2058.39990234375,2096.39990234375,1349172
2020-09-22,1937.4000244140625,2004.5999755859373,1937.4000244140625,1991.4000244140625,233367
2020-09-21,1938.0,1995.0,1910.0,1940.5999755859373,268992
2020-09-18,1974.4000244140625,2014.0,1967.4000244140625,1998.4000244140625,214003
2020-09-17,1967.800048828125,1997.5999755859373,1818.0,1973.800048828125,318985
2020-09-16,1946.800048828125,1988.0,1907.800048828125,1962.5999755859373,253317
2020-09-15,1841.0,1925.0,1831.5999755859373,1908.199951171875,256156
2020-09-14,1840.0,1857.0,1792.4000244140625,1832.199951171875,121452
2020-09-11,1840.199951171875,1859.800048828125,1803.5999755859373,1811.0,134626
2020-09-10,1827.199951171875,1850.0,1812.4000244140625,1829.4000244140625,82821
2020-09-09,1838.199951171875,1858.4000244140625,1800.0,1841.0,205045
2020-09-08,1837.5999755859373,1854.5999755859373,1829.5999755859373,1841.199951171875,287994
2020-09-07,1794.4000244140625,1905.4000244140625,1774.0,1886.5999755859373,240077
2020-09-04,1770.199951171875,1820.0,1723.0,1800.0,169563
2020-09-03,1848.800048828125,1866.0,1788.4000244140625,1803.0,224323
2020-09-02,1807.4000244140625,1869.5999755859373,1773.0,1841.0,221290
2020-09-01,1878.0,1878.0,1795.5999755859375,1814.5999755859373,325882
2020-08-31,1884.4000244140625,1950.4000244140625,1851.5999755859373,1907.199951171875,248290
2020-08-28,1930.0,1930.0,1821.0,1836.199951171875,172017
2020-08-27,1984.800048828125,1986.800048828125,1870.0,1923.0,244349
2020-08-26,2040.0,2040.0,1970.4000244140625,1989.5999755859373,178985
2020-08-25,1922.0,1999.800048828125,1919.800048828125,1994.5999755859373,193737
2020-08-24,1895.199951171875,1930.0,1883.4000244140625,1927.0,113554
2020-08-21,1827.5999755859373,1900.0,1824.5999755859373,1879.0,257645
2020-08-20,1819.0,1845.0,1777.0,1826.4000244140625,259439
2020-08-19,1770.4082122074285,1854.799095746053,1751.4102699868488,1846.0,318678
2020-08-18,1828.4018770121131,1828.4018770121131,1749.8104164339813,1782.4068603515625,144732
2020-08-17,1703.0154846240032,1793.0057370959476,1703.0154846240032,1780.607177734375,400081
2020-08-14,1774.2078308056462,1762.0090790107458,1690.6169103260825,1707.215087890625,303547
2020-08-13,1817.8031664859648,1817.8031664859648,1750.810420526361,1768.8084716796875,251192
2020-08-12,1803.804599852686,1815.4033189879926,1756.80969065475,1765.8087158203125,186493
2020-08-11,1877.796661427675,1887.7955786876728,1802.0048197740493,1804.8045654296875,242494
2020-08-10,1936.7902184963073,1943.9893898971015,1802.004768819933,1815.6033935546875,327235
2020-08-07,1963.7873179700996,1963.7873179700996,1904.9936366133304,1914.9925537109373,116948
2020-08-06,1951.788653176403,1995.983818733891,1904.3937608548601,1938.989990234375,271397
2020-08-05,1876.596780747176,1936.790211923191,1866.9977228359048,1913.5927734375,143083
2020-08-04,1890.995113101384,1890.995113101384,1883.1960311627279,1884.1959228515625,76499
2020-08-03,1896.7945437090561,1903.9937150837445,1864.798009497833,1888.79541015625,217797
2020-07-31,1779.6072612875366,1869.9973715342169,1770.2082550820026,1869.3974609375,176152
2020-07-30,1819.8028449756414,1828.2019594407932,1724.8131360346051,1778.00732421875,186665
2020-07-29,1807.8041836410198,1843.8002846427216,1793.8056999181365,1817.8031005859373,187625
2020-07-28,1826.202228942036,1909.3931697254995,1800.6050257822849,1804.404541015625,330978
2020-07-27,1787.4063842798168,1845.2001735492606,1752.0101935741102,1832.6015625,188843
2020-07-24,1749.610482747795,1781.8069455105028,1714.8142040126334,1775.607666015625,100457
2020-07-23,1793.4057177315913,1793.8056988205615,1706.6151919370698,1755.809814453125,233988
2020-07-22,1729.812680691649,1784.8067254535224,1728.8127889687055,1769.808349609375,181469
2020-07-21,1648.821445981193,1749.8105096828913,1640.4223311232959,1722.4134521484375,186268
2020-07-20,1664.6197272455925,1671.8188985600962,1632.023160644741,1661.02001953125,131532
2020-07-17,1626.623868206552,1682.4177518948509,1605.0261098166636,1655.6207275390625,219815
2020-07-16,1582.8285045881,1616.8248211743255,1570.229894029328,1615.625,105265
2020-07-15,1542.8329439627094,1584.828396747177,1536.0336313557186,1582.82861328125,108773
2020-07-14,1522.4350568562802,1554.6316423832047,1507.8366626505249,1531.43408203125,154426
2020-07-13,1508.8365526348005,1551.0319329181198,1500.4374380695506,1540.43310546875,128384
2020-07-10,1453.6425661943642,1507.6367166538928,1448.2431267369934,1504.237060546875,116223
2020-07-09,1462.8415998567905,1488.8387848166512,1452.0427203583176,1470.040771484375,68823
2020-07-08,1471.8406196489727,1483.8393203526327,1437.8443009886025,1459.8419189453125,74104
2020-07-07,1480.239687202421,1516.635769250689,1480.239687202421,1489.838623046875,121283
2020-07-06,1480.8396271489953,1514.8359453954947,1457.8421177469513,1503.63720703125,171714
2020-07-03,1426.0454642883205,1472.4404626223002,1426.0454642883205,1455.84228515625,74910
